Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
11,4,-1255.48,152.84,9787.49,-7.58413,-4.23717,-0.366645,3.07E-05,2.25E-06,-4.14E-06,-4.7006,5.85552,67.7937,-121.804,-567.316,17692.1
12,0,-1307.66,114.431,9822.21,-8.20502,-4.45972,-0.646156,3.06E-05,2.25E-06,-4.77E-06,-4.71147,5.82711,67.8195,-101.503,-566.427,18673.4
12,1,-1330.39,45.917,9832,-8.57219,-4.65903,-0.975285,3.04E-05,2.18E-06,-5.22E-06,-4.72459,5.7967,67.8459,191.349,428.207,19648.2
12,2,-1261.26,-8.36728,9826.44,-8.69644,-4.54491,-0.846719,3.03E-05,1.98E-06,-5.35E-06,-4.7385,5.76469,67.8739,334.861,812.633,20021
12,3,-1145.03,-58.8412,9796.13,-8.67172,-4.23066,-0.462251,3.01E-05,1.71E-06,-5.31E-06,-4.75255,5.73145,67.9035,95.6746,-1064.66,19915.2
12,4,-1076.14,-90.9171,9721.93,-8.81686,-4.11442,-0.443639,2.99E-05,1.46E-06,-5.27E-06,-4.76715,5.697,67.933,467.665,-80.5728,19300.2
13,0,-963.391,-73.4412,9629.29,-8.49599,-3.56366,-0.237704,2.99E-05,1.35E-06,-5.25E-06,-4.78036,5.6638,67.963,371.292,849.665,20120.2
13,1,-948.139,-97.7301,9701.69,-7.78318,-2.44984,0.00991266,2.99E-05,1.35E-06,-5.25E-06,-4.79375,5.6362,67.9937,1997.85,738.54,20025.4
13,2,-955.702,-155.093,9743.62,-7.13537,-1.53864,0.116464,2.99E-05,1.35E-06,-5.25E-06,-4.80785,5.61277,68.0207,435.716,-211.905,18979.3
13,3,-970.553,-188.055,9771.93,-6.50562,-0.573337,0.380565,3.00E-05,1.29E-06,-4.92E-06,-4.82243,5.59427,68.0454,-295.551,-133.929,19148.4
13,4,-991.537,-241,9825.84,-5.46007,0.00330128,0.391894,3.02E-05,1.17E-06,-4.33E-06,-4.83545,5.57985,68.0684,-168.886,-149.72,17928.3
14,0,-981.313,-278.448,9853.23,-4.44198,0.564537,0.435553,3.04E-05,1.03E-06,-3.66E-06,-4.84673,5.56913,68.091,0,-423.976,17586.3
14,1,-942.69,-269.309,9829.22,-3.45167,1.46878,0.810734,3.06E-05,9.97E-07,-3.23E-06,-4.85595,5.56364,68.1144,13.5005,-732.749,19505.2
14,2,-940.579,-228.954,9807.95,-2.35317,2.50542,1.27804,3.10E-05,1.13E-06,-3.23E-06,-4.86303,5.56492,68.1386,509.884,-425.474,20612.8
