Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
17,4,1028.73,11483.3,16370.2,-201.358,-121.177,-171.632,-1.05E-05,1.24E-05,1.94E-05,8.45312,13.3906,-62.3328,409.818,18745.3,26951.2
18,0,1062.85,11384.2,16204.3,-207.434,-127.55,-160.973,-1.02E-05,1.20E-05,1.94E-05,7.36721,13.4387,-62.8507,361.874,18131.4,26141
18,1,1112.09,11342.8,16001.4,-212.694,-134,-149.822,-9.88E-06,1.14E-05,1.94E-05,6.25188,13.4698,-63.3206,-227.619,17451.7,24716.3
18,2,1145.21,11357.2,15777.7,-217.625,-140.495,-138.079,-9.58E-06,1.09E-05,1.94E-05,5.10837,13.4836,-63.7397,-626.355,17035.2,24873.9
18,3,1133.4,11424.4,15478.4,-222.719,-146.426,-126.066,-9.61E-06,1.05E-05,1.94E-05,3.93753,13.4828,-64.1032,461.37,17693.3,25374
18,4,1039.39,11417.1,15132,-226.482,-152.468,-114.177,-1.04E-05,1.06E-05,1.95E-05,2.74296,13.4647,-64.4064,341.1,17560.9,25477.8
19,0,821.137,11495.6,14695.8,-232.262,-159.56,-102.249,-1.11E-05,1.06E-05,1.97E-05,1.51668,13.4302,-64.6554,-439.101,17221.4,25683.1
19,1,772.085,11613.8,14374.5,-237.311,-166.377,-91.638,-1.18E-05,1.06E-05,1.97E-05,0.258425,13.3778,-64.853,-43.9101,17424.9,24551.3
19,2,678.433,11619.6,14093.2,-242.439,-173.186,-80.7829,-1.21E-05,1.02E-05,1.96E-05,-1.02768,13.3102,-65.0078,965.569,17796.6,24750.1
19,3,579.782,11639.5,13761.1,-246.985,-179.936,-69.7948,-1.23E-05,9.72E-06,1.93E-05,-2.33936,13.2268,-65.1154,629.52,18357.3,23121.6
19,4,495.089,11605.7,13336.4,-251.146,-186.611,-58.4091,-1.26E-05,9.21E-06,1.92E-05,-3.67504,13.1275,-65.1714,984.519,18351.4,22970
20,0,464.159,11624.4,12931.5,-255.271,-193.255,-47.1463,-1.28E-05,8.44E-06,1.93E-05,-5.03485,13.0128,-65.1727,-45.7436,17992.3,23123.3
20,1,468.775,11592.1,12535.6,-259.377,-199.417,-36.3851,-1.32E-05,7.50E-06,1.97E-05,-6.4173,12.8849,-65.1215,-886.593,17929.4,21802.5
20,2,472.496,11422.6,12074.8,-263.408,-204.937,-25.8418,-1.35E-05,6.60E-06,2.01E-05,-7.82043,12.7462,-65.0202,143.512,18141.3,20523.8
20,3,551.696,11273.5,11610.7,-267.325,-210.159,-15.3154,-1.38E-05,5.94E-06,2.06E-05,-9.24299,12.5979,-64.8663,340.724,17871.7,21210.1
20,4,870.656,11118.8,11252.3,-270.667,-214.553,-5.61374,-1.43E-05,5.81E-06,2.15E-05,-10.6817,12.4412,-64.6585,-94.6095,17062.6,20568.8
21,0,1080.14,10907.9,10792.1,-273.913,-218.245,3.6737,-1.47E-05,5.67E-06,2.24E-05,-12.134,12.2794,-64.4055,942.739,17521.7,19613.3
21,1,1337.41,10560.5,10239.4,-276.622,-220.84,12.6506,-1.52E-05,5.39E-06,2.30E-05,-13.5964,12.1157,-64.1073,496.247,17251.5,19958.1
21,2,1496.76,10350.3,9552.27,-279.224,-221.813,21.335,-1.55E-05,4.51E-06,2.24E-05,-15.0629,11.9575,-63.7753,89.3274,16908.1,19638.7
21,3,1614.95,10044.7,8949.75,-281.816,-222.105,29.5139,-1.59E-05,3.56E-06,2.15E-05,-16.5345,11.8064,-63.4076,382.68,16338.5,18780.8
21,4,1679.96,9725.63,8359.48,-283.632,-221.757,37.7864,-1.63E-05,2.62E-06,2.09E-05,-18.0125,11.6627,-63.0014,459.218,15868.4,18093.5
22,0,1753.44,9392.54,7756.87,-285.105,-220.72,46.2039,-1.67E-05,1.76E-06,2.07E-05,-19.4903,11.5287,-62.5554,-2.2126,15032.4,17574.6
22,1,1819.75,9017.51,7191.02,-286.442,-219.343,54.6868,-1.72E-05,9.39E-07,2.09E-05,-20.9633,11.4046,-62.0642,-226.821,14520.7,16614.5
22,2,1896.04,8642.76,6671.27,-287.512,-217.495,63.2623,-1.78E-05,1.71E-07,2.10E-05,-22.4178,11.2818,-61.5289,482.528,14735.5,15855.7
22,3,2026.72,8306.04,6122.21,-288.296,-214.734,71.8664,-1.86E-05,-3.88E-07,2.11E-05,-23.8122,11.131,-60.9649,1497.27,14380.7,16520.5
22,4,2009.17,7902.89,5502.59,-288.377,-212.082,80.2301,-1.98E-05,-5.70E-07,2.09E-05,-25.1059,10.9166,-60.382,1412.99,13081.4,16577.4
23,0,2073.48,7545.15,4924.41,-288.018,-208.734,88.2238,-2.10E-05,-7.52E-07,2.07E-05,-26.4235,10.7492,-59.7583,1216.56,13134.6,15089.4
23,1,2129.86,7217.52,4229.13,-287.379,-204.587,95.5731,-2.19E-05,-1.14E-06,2.04E-05,-27.8327,10.7005,-59.0819,1024.37,11438,14675
23,2,1979.47,6802.26,3626,-286.185,-199.924,102.566,-2.19E-05,-2.03E-06,1.99E-05,-29.2204,10.6717,-58.3823,1375.13,13078.6,14763
23,3,1879.57,6431.79,3075.48,-284.709,-195.316,109.476,-2.18E-05,-2.98E-06,1.94E-05,-30.586,10.6636,-57.6641,1999.68,12986.9,14254.7
