

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
9,3,-840.332,93.4773,9762.56,-1.76303,-0.135341,0.111174,2.68668e-05,-7.02008e-07,-5.25123e-06,-3.36143,3.77215,97.9002,-74.5746,-277.618,19452.4,-512.926,1710.4,9640.31,-2.23718,0.765621,0.132491,-2.33932e-05,2.08722e-06,1.95627e-05,10.4791,-1.40389,-53.3517,0,8911.39,20009.5
9,4,-856.683,119.741,9749.49,-2.09924,-0.377065,0.0304974,2.71021e-05,-3.03214e-07,-5.05533e-06,-3.36273,3.77383,97.8984,-46.2859,405.371,18378,-535.988,1679.75,9678.95,-2.42185,1.01248,0.298285,-2.31977e-05,2.1e-06,1.96409e-05,10.478,-1.40125,-53.3479,-559.633,8260,19711.5
10,0,-852.779,114.749,9760.78,-2.66231,-0.508572,-0.204013,2.74347e-05,3.14389e-07,-4.77028e-06,-3.36425,3.77208,97.8893,239.187,980.39,17996.6,-571.615,1658.26,9645.63,-2.31483,0.966093,0.00378184,-2.29596e-05,2.1e-06,1.97361e-05,10.4776,-1.39943,-53.347,-466.361,8746.32,19546.1
10,1,-870.169,111.098,9783.1,-2.7519,-0.697939,-0.170106,2.7617e-05,6.99889e-07,-4.58081e-06,-3.36536,3.76827,97.879,-281.844,452.751,18027.5,-615.157,1648.91,9655.35,-2.1547,0.758884,-0.262197,-2.29492e-05,2.04308e-06,1.97555e-05,10.4782,-1.39863,-53.3477,0,8824.89,19920.1
10,2,-901.041,127.1,9820.17,-2.46907,-1.03738,0.0790503,2.75501e-05,7.00124e-07,-4.54997e-06,-3.3648,3.76493,97.8734,-493.227,-449.103,17359,-689.768,1623.34,9733.14,-2.19593,0.601182,-0.199298,-2.32431e-05,1.91009e-06,1.96734e-05,10.4787,-1.39613,-53.3475,302.768,7815.74,20534.8
10,3,-801.727,111.091,9880.17,-2.26788,-1.1575,-0.238946,2.73601e-05,5.10093e-07,-4.59748e-06,-3.36222,3.75998,97.8739,0,-304.236,18394.7,-707.794,1590.21,9723.39,-2.15509,0.325758,-0.388401,-2.35648e-05,1.77373e-06,1.95769e-05,10.4788,-1.3929,-53.3456,520.357,7798.56,20376.4
10,4,-683.647,76.5512,9886.68,-2.04023,-0.822047,-0.311399,2.71956e-05,3.28559e-07,-4.61949e-06,-3.35938,3.75473,97.8761,0,-1331.79,18494.5,-668.459,1599.53,9699.66,-2.17104,0.178375,-0.43111,-2.37561e-05,1.70975e-06,1.94659e-05,10.4788,-1.39046,-53.3433,-1316.43,6529.98,17141.3
11,0,-760.68,158.37,9817.06,-1.37726,-0.703975,0.156856,2.7235e-05,2.15014e-07,-4.43754e-06,-3.35798,3.75562,97.8813,0,372.734,17954.5,-644.588,1601.4,9774.23,-1.68724,-0.148508,-0.466842,-2.32323e-05,2.04306e-06,1.92754e-05,10.4784,-1.38846,-53.3412,-248.235,9319.23,20676.1
11,1,-797.635,188.757,9750.24,-1.25386,-0.985432,-0.0998095,2.733e-05,1.19999e-07,-4.2e-06,-3.35168,3.75623,97.8809,1186.17,-358.117,18586.4,-600.763,1613.9,9707.64,-1.91385,-0.222325,-0.571469,-2.27086e-05,2.37637e-06,1.90849e-05,10.478,-1.38769,-53.3406,-24.8235,8348.09,20997.1
11,2,-852.989,134.629,9746.91,-1.7558,-1.29941,-0.490772,2.7425e-05,2.49827e-08,-3.96246e-06,-3.34797,3.75364,97.8784,-135.448,-242.67,19316.2,-599.419,1609.65,9705.79,-2.16513,-0.281334,-0.573732,-2.2381e-05,2.66087e-06,1.89782e-05,10.4775,-1.38682,-53.3403,-938.925,7362.96,18687.9
