

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
11,0,-1273.5,-143.269,9710.27,-0.833811,-2.5375,-0.353448,2.61087e-05,-2.09128e-06,-5.54564e-06,-6.43962,5.53038,86.6518,-1769.04,0,19134.9,2577.62,2475.4,9093.08,-1.25902,1.51676,0.18306,-2.72001e-05,1.44778e-05,1.75555e-05,-3.15126,-24.0475,-106.153,2215.69,9391.29,18996.4
11,1,-1385.39,-127.208,9772.8,-1.27248,-2.34912,-0.100872,2.59192e-05,-2.28082e-06,-5.64041e-06,-6.43186,5.52492,86.6535,663.242,0,17003.2,2666.54,2537.57,9113.99,-1.10041,1.88917,0.112997,-2.76286e-05,1.44302e-05,1.74603e-05,-3.14876,-24.0489,-106.157,1996.97,7827.7,20990.8
11,2,-1365.03,-80.3576,9730.4,-1.19698,-1.75579,-0.110449,2.57971e-05,-2.35788e-06,-5.60019e-06,-6.42419,5.52235,86.6515,-659.749,-58.4942,18359.6,2595.7,2546.87,9068.14,-1.0041,2.16293,-0.346594,-2.79225e-05,1.42704e-05,1.73427e-05,-3.14246,-24.0493,-106.16,2308.03,8838.84,18622.9
11,3,-1362.12,-93.5882,9687.21,-1.78101,-2.00748,-0.493188,2.5735e-05,-2.33502e-06,-5.44008e-06,-6.41801,5.51636,86.6468,-617.373,278.019,17382.4,2577.24,2510.34,9108.29,-1.06861,2.41465,-0.560576,-2.80952e-05,1.40096e-05,1.72048e-05,-3.13552,-24.0475,-106.163,1432.35,8786.04,18452.3
11,4,-1367.36,-26.8049,9703.8,-1.99163,-2.08216,-0.450911,2.56876e-05,-2.28763e-06,-5.25053e-06,-6.41097,5.51117,86.6425,221.229,443.527,17352,2597.81,2521.29,9152.51,-1.34145,2.89756,-0.388072,-2.82381e-05,1.37239e-05,1.70619e-05,-3.12764,-24.0433,-106.164,982.497,8821.99,18699.6
12,0,-1339.13,-8.21854,9701.16,-2.19195,-2.07577,-0.340266,2.56944e-05,-2.11397e-06,-4.98882e-06,-6.40412,5.50488,86.6389,547.259,226.771,19271.8,2579.31,2500.22,9193.08,-1.38919,2.91884,-0.422676,-2.81236e-05,1.36587e-05,1.69007e-05,-3.11913,-24.0381,-106.163,891.471,8712.91,18888.2
12,1,-1332.54,21.6199,9724.87,-2.43288,-2.25281,-0.293674,2.57643e-05,-1.79287e-06,-4.64287e-06,-6.39673,5.49791,86.6363,264.079,0,20306.8,2513.49,2463.3,9180.64,-1.11108,2.50719,-0.565372,-2.77129e-05,1.38475e-05,1.67183e-05,-3.10994,-24.0337,-106.16,878.416,8225.44,19425.8
12,2,-1392.33,34.0045,9776.77,-2.47663,-2.45356,-0.293656,2.58591e-05,-1.41378e-06,-4.26378e-06,-6.3898,5.49101,86.6336,112.583,-87.2206,19822.7,2452.4,2472.84,9130.45,-0.774834,2.26065,-0.438104,-2.71892e-05,1.41332e-05,1.65279e-05,-3.09953,-24.0309,-106.155,1111.11,8169.73,19734.9
12,3,-1428.82,-142.963,9745.28,-2.51285,-2.56068,-0.399197,2.59362e-05,-1.21963e-06,-4.0256e-06,-6.38594,5.48165,86.6322,516.126,-412.935,20239.9,2418.29,2480.04,9140.08,-0.615036,2.27769,-0.241295,-2.68109e-05,1.43643e-05,1.64647e-05,-3.08816,-24.0282,-106.15,1299.85,8655.76,19360.5
12,4,-1339.74,-93.1133,9791.35,-2.34081,-2.83192,0.195003,2.595e-05,-1.69093e-06,-4.29442e-06,-6.37891,5.4711,86.6392,1054.28,-852.91,18956,2381.04,2447,9111.69,-0.773423,2.3136,-0.175656,-2.69538e-05,1.44e-05,1.68576e-05,-3.07743,-24.024,-106.147,718.722,7538.45,20077
