

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
20,2,-1166.52,1710.55,9684.3,-6.34907,-30.584,-10.9083,2.57463e-05,2.13146e-06,-4.33427e-06,-1.38785,5.99192,68.6127,0,1620.73,18980.9
20,3,-995.069,1629.86,9636.42,-5.17694,-30.5282,-9.74543,2.56561e-05,1.68025e-06,-4.55987e-06,-1.30566,5.89331,68.5648,174.209,1782.61,20308.3
20,4,-927.125,1458.47,9547.94,-5.0831,-30.4021,-9.66769,2.55597e-05,1.25226e-06,-4.76837e-06,-1.22604,5.79274,68.52,814.167,1489.65,20373.7
21,0,-790.376,1419.6,9523,-4.4993,-29.6631,-10.407,2.54145e-05,1.00994e-06,-4.84006e-06,-1.14607,5.69361,68.4805,302.266,1209.06,18606.6
21,1,-725.718,1263.68,9880.24,-4.48771,-28.2328,-9.78835,2.50987e-05,1.41602e-06,-4.43398e-06,-1.07214,5.59644,68.4456,460.762,515.031,19315.6
21,2,-602.384,1135.05,10057.3,-4.19245,-26.4587,-8.8999,2.47828e-05,1.8221e-06,-4.0279e-06,-1.00192,5.50272,68.4127,389.832,675.899,19541
21,3,-455.297,888.108,10161.2,-4.3219,-24.4051,-7.74197,2.46348e-05,2.09572e-06,-3.64831e-06,-0.939738,5.41036,68.3787,443.495,1220.18,19594.2
21,4,-398.49,655.195,10212,-4.1555,-22.365,-6.56409,2.49624e-05,1.99382e-06,-3.34382e-06,-0.884854,5.32243,68.3466,700.907,698.241,18427.5
22,0,-352.337,497.45,10247.9,-3.29734,-21.1055,-5.60014,2.55038e-05,1.7231e-06,-3.0731e-06,-0.8316,5.23834,68.3182,211.259,187.957,17904.6
22,1,-325.268,488.52,10245.6,-2.54542,-20.1538,-4.7938,2.59828e-05,1.48362e-06,-2.83362e-06,-0.77811,5.15936,68.2951,254.675,485.426,18485.8
22,2,-357.92,589.789,10161.3,-2.45318,-18.836,-4.00569,2.625e-05,1.35e-06,-2.7e-06,-0.726296,5.08734,68.2776,1053.24,677.15,19061.2
22,3,-382.125,648.964,10016,-2.69881,-17.4716,-3.27688,2.625e-05,1.35e-06,-2.7e-06,-0.677994,5.02107,68.2635,528.613,36.3862,19464.9
22,4,-389.036,739.518,9866.26,-3.80722,-16.0576,-2.63597,2.62433e-05,1.34195e-06,-2.71342e-06,-0.63544,4.9588,68.2521,516.06,166.578,20017.9
23,0,-439.921,856.716,9698.06,-5.08967,-14.9643,-1.67835,2.61829e-05,1.26949e-06,-2.83418e-06,-0.598434,4.9001,68.2437,309.447,28.404,18261.9
23,1,-512.309,922.526,9562.39,-6.95726,-14.1636,-1.03707,2.59573e-05,9.98772e-07,-3.28538e-06,-0.570529,4.84238,68.2384,30.9447,-178.208,19365.5
23,2,-427.151,891.01,9480.64,-8.80253,-13.2246,-0.574256,2.57317e-05,7.2805e-07,-3.73658e-06,-0.550801,4.78168,68.2352,691.09,1182.17,19736.9
23,3,-397.749,819.098,9421.21,-11.0551,-12.3255,-0.287457,2.56125e-05,6.02425e-07,-4.05236e-06,-0.542186,4.71773,68.2322,302.276,458.401,20565.8
23,4,-478.103,795.08,9389.99,-13.6149,-11.8598,-0.297955,2.57634e-05,8.4509e-07,-4.0244e-06,-0.544738,4.65077,68.2257,34.4486,222.626,19690.3
24,0,-550.146,757.611,9404.58,-16.0921,-11.4873,-0.417323,2.60341e-05,1.25117e-06,-3.84392e-06,-0.558123,4.5802,68.217,356.12,765.429,18895.3
24,1,-585.014,699.483,9433.16,-18.4386,-11.0788,-0.731886,2.62081e-05,1.589e-06,-3.70895e-06,-0.582015,4.50565,68.2081,472.785,968.085,18642.7
24,2,-616.952,658.625,9466.36,-20.6339,-10.7691,-1.03232,2.60781e-05,1.71222e-06,-3.71704e-06,-0.615343,4.4273,68.2027,231.248,1176,19548.8
24,3,-632.116,626.508,9538.25,-22.4525,-10.4892,-0.863447,2.55818e-05,1.57686e-06,-3.89752e-06,-0.656407,4.34575,68.2036,358.822,1865.74,21517.6
24,4,-639.077,594.349,9596.51,-24.07,-10.0837,-1.01895,2.5103e-05,1.44004e-06,-4.05899e-06,-0.704588,4.2617,68.2054,0,10.4937,17393.5
25,0,-553.448,410.155,9640.57,-25.3546,-9.45953,-1.45705,2.47646e-05,1.29152e-06,-4.06842e-06,-0.760714,4.17336,68.2044,0,104.937,18306.3
25,1,-321.066,251.892,9601.99,-25.9342,-8.47478,-1.42757,2.48097e-05,1.11104e-06,-3.66233e-06,-0.821336,4.0811,68.1992,1227.04,10.4937,19088
25,2,-255.601,142.342,9651.26,-26.0648,-7.15366,-1.20203,2.48549e-05,9.30556e-07,-3.25625e-06,-0.886406,3.99164,68.1943,272.675,180.217,16884.5
25,3,-92.7635,-9.05826,9744.64,-25.7473,-5.51446,-1.37774,2.50051e-05,9.078e-07,-2.88171e-06,-0.95453,3.90407,68.1876,23.2657,-290.545,19627.5
25,4,-4.20609,-32.0919,9844.53,-25.2666,-4.02988,-1.54595,2.53961e-05,1.24612e-06,-2.57939e-06,-1.02328,3.82149,68.1784,502.399,-406.724,20357.2
26,0,-10.1697,-50.9609,9949,-23.9615,-2.29267,-1.43488,2.58924e-05,1.74244e-06,-2.30867e-06,-1.09164,3.7484,68.1685,885.96,81.5084,20119
26,1,20.6751,-132.377,10020.5,-22.1436,-0.367161,-1.1837,2.61975e-05,2.07837e-06,-2.14899e-06,-1.15897,3.68468,68.161,670.151,13.2947,20529.1
26,2,111.896,-207.602,10082.6,-20.6279,1.20885,-1.13499,2.59408e-05,1.94306e-06,-2.31555e-06,-1.22492,3.62759,68.1592,455.204,-210.981,20709.9
